id,price_usd
2316505,167143.1875
2320880,71930.484375
2321742,112729.578125
2276796,55587.515625
2330364,55587.515625
2309731,55587.515625
2314741,213412.5
2272025,103148.78125
2265257,110610.484375
2312864,246895.21875
2284231,43522.5625
2322887,82331.2109375
2274219,82791.03125
2284306,47446.0117188
2272022,51754.1796875
2242949,34184.5117188
2331386,34184.5117188
2281398,93565.609375
2289737,113552.382812
2279980,59014.1640625
2281377,115315.257812
2272919,284852.65625
2283012,97080.421875
2298151,60104.8671875
2284447,43522.5625
2280034,34184.5117188
2281373,121661.117188
2283449,22068.1875
2283451,34184.5117188
2283317,51868.3515625
2281899,17675.6523438
2283308,34184.5117188
2294427,112729.578125
2329600,51868.3515625
2308034,22926.3066406
2282207,13722.4316406
2329601,43522.5625
2274266,59014.1640625
2281375,122120.9375
2279909,43522.5625
2283021,115315.257812
2328448,83372.8125
2284049,35412.9492188
2285868,114012.203125
2272371,106894.851562
2308033,24646.2148438
2271002,122120.9375
2281697,17675.6523438
2283634,48952.8398438
2303746,82331.2109375
2282114,51868.3515625
2272453,114012.203125
2283889,47446.0117188
2281376,97080.421875
2302439,167143.1875
2283020,115315.257812
2239446,54519.4570312
2312120,98630.6015625
2330403,54519.4570312
2300029,49683.4414062
2327288,133634.40625
2300307,47446.0117188
2285332,16148.7529297
2285833,114012.203125
2311918,105206.59375
2308600,49683.4414062
2308636,49683.4414062
2272557,47452.0
2283066,22926.3066406
2313282,51754.1796875
2284027,48952.8398438
2281514,8499.91894531
2281453,51868.3515625
2284028,43522.5625
2305912,94304.078125
2282359,60168.2421875
2282464,48952.8398438
2282434,48952.8398438
2281638,60868.6835938
2282449,48952.8398438
2283375,48952.8398438
2282459,48952.8398438
2282435,48952.8398438
2282460,48952.8398438
2282465,48952.8398438
2281639,60868.6835938
2282430,48952.8398438
2282441,48952.8398438
2283376,48952.8398438
2282448,48952.8398438
2282458,48952.8398438
2282461,48952.8398438
2283377,48952.8398438
2282429,48952.8398438
2282446,48952.8398438
2282462,48952.8398438
2282443,48952.8398438
2282447,48952.8398438
2282442,48952.8398438
2282436,48952.8398438
2282428,48952.8398438
2282463,48952.8398438
2282432,48952.8398438
2282437,48952.8398438
2282440,48952.8398438
2282439,48952.8398438
2281635,60868.6835938
2282453,48952.8398438
2277318,48952.8398438
2282467,48952.8398438
2282454,48952.8398438
2277317,48952.8398438
2282444,48952.8398438
2277316,48952.8398438
2282452,48952.8398438
2282438,48952.8398438
2282416,48952.8398438
2282455,48952.8398438
2277315,48952.8398438
2281636,60868.6835938
2282469,48952.8398438
2282450,48952.8398438
2282431,48952.8398438
2282445,48952.8398438
2281637,60868.6835938
2282433,48952.8398438
2277312,48952.8398438
2282456,48952.8398438
2281634,60868.6835938
2277313,48952.8398438
2277314,48952.8398438
2282457,48952.8398438
2282466,48952.8398438
2282451,48952.8398438
2281633,60868.6835938
2282394,48952.8398438
2282719,51427.3125
2294606,47446.0117188
2285366,47446.0117188
2314883,47446.0117188
2272413,106894.851562
2282230,51427.3125
2264162,92228.875
2281409,108055.3125
2282830,60868.6835938
2316483,167143.1875
2294603,47446.0117188
2294605,47446.0117188
2277345,43522.5625
2283644,43522.5625
2281156,56579.1835938
2272439,114012.203125
2268201,83372.8125
2277321,47446.0117188
2283395,51868.3515625
2265672,92680.8671875
2270516,107229.132812
2284026,51427.3125
2283287,34184.5117188
2307883,59014.1640625
2294421,49683.4414062
2268227,83372.8125
2277340,47446.0117188
2294604,47446.0117188
2281698,17675.6523438
2309516,85143.3984375
2277926,114012.203125
2283980,60868.6835938
2284888,83372.8125
2328447,70929.953125
2280047,32405.8417969
2310399,47446.0117188
2314950,47446.0117188
2222106,47446.0117188
2242095,47446.0117188
2222107,47446.0117188
2314940,47446.0117188
2291990,47446.0117188
2328555,47446.0117188
2285888,114012.203125
2301198,47446.0117188
2328538,47446.0117188
2300552,47446.0117188
2301182,47446.0117188
2277867,47446.0117188
2277865,51427.3125
2301167,47446.0117188
2315113,99338.3515625
2307446,20638.1289062
2275731,13722.4316406
2312121,98630.6015625
2283303,34184.5117188
2282108,43522.5625
2264890,58029.2304688
2330288,124671.648438
2283436,13722.4316406
2277901,303870.25
2277898,303870.25
2283000,51427.3125
2313280,61779.4257812
2279655,51427.3125
2303602,58029.2304688
2273094,58934.546875
2315020,58029.2304688
2280021,70695.09375
2281248,47446.0117188
2279889,59996.109375
2320900,123691.921875
2279520,48952.8398438
2283883,51427.3125
2323930,73933.1875
2311882,56198.8320312
2308334,49683.4414062
2279656,51427.3125
2321338,113552.382812
2324501,58934.546875
2265192,60564.6835938
2274211,133634.40625
2308423,61711.4726562
2308424,61711.4726562
2289672,83372.8125
2320172,82791.03125
2322630,70348.171875
2311912,105206.59375
2286170,110216.710938
2272133,125350.851562
2281460,113552.382812
2281461,113552.382812
2294664,108004.21875
2316472,167143.1875
2267633,108004.21875
2297122,82791.03125
2267634,108004.21875
2304783,57972.578125
2299008,99798.171875
2267635,108004.21875
2267636,108004.21875
2283101,116349.96875
2280295,83372.8125
2282055,191795.96875
2284069,34184.5117188
2307027,48952.8398438
2323377,82791.03125
2268338,83372.8125
2282424,43522.5625
2274592,115241.523438
2268895,167143.1875
2268925,83372.8125
2307010,104775.140625
2282513,34184.5117188
2276337,90992.609375
2282958,43522.5625
2283778,60868.6835938
2330298,82791.03125
2272571,60868.6835938
2271754,114012.203125
2322699,82791.03125
2283688,51427.3125
2277422,82791.03125
2311888,60069.40625
2311886,60069.40625
2282094,60868.6835938
